id,name,category,type,calories,protein,carbs,fat,fiber,price,image,swiggyUrl,zomatoUrl,description,benefits,health_score
masala-chai---family-recipe-da10be,Masala Chai - Family Recipe,dinner,veg,103,51,15,3,8,417,https://images.unsplash.com/photo-1378954076?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Masala+Chai+-+Family+Recipe,https://www.zomato.com/search?q=Masala+Chai+-+Family+Recipe,"Masala Chai - Family Recipe — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,5
dal-tadka---family-recipe-5b881b,Dal Tadka - Family Recipe,dinner,veg,257,51,2,0,8,589,https://images.unsplash.com/photo-1282981686?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Dal+Tadka+-+Family+Recipe,https://www.zomato.com/search?q=Dal+Tadka+-+Family+Recipe,"Dal Tadka - Family Recipe — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,5
chicken-tikka---restaurant-905-682d6c,Chicken Tikka - Restaurant 905,dinner,non-veg,299,49,17,1,6,776,https://images.unsplash.com/photo-1346296945?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Chicken+Tikka+-+Restaurant+905,https://www.zomato.com/search?q=Chicken+Tikka+-+Restaurant+905,"Chicken Tikka - Restaurant 905 — delicious non-veg dish, popular in its region.",High protein|High fiber|Low fat,5
paneer-bhurji---restaurant-1142-545fed,Paneer Bhurji - Restaurant 1142,lunch,veg,211,44,20,2,2,197,https://images.unsplash.com/photo-1713310464?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Paneer+Bhurji+-+Restaurant+1142,https://www.zomato.com/search?q=Paneer+Bhurji+-+Restaurant+1142,"Paneer Bhurji - Restaurant 1142 — delicious veg dish, popular in its region.",Low calorie|High protein|Low fat,5
bajji---street-style-56a617,Bajji - Street Style,lunch,veg,92,39,12,10,9,1199,https://images.unsplash.com/photo-1624098996?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Bajji+-+Street+Style,https://www.zomato.com/search?q=Bajji+-+Street+Style,"Bajji - Street Style — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,5
gobi-manchurian---classic-1286-fa90cf,Gobi Manchurian - Classic 1286,dinner,veg,169,33,0,3,15,1044,https://images.unsplash.com/photo-1749682214?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Gobi+Manchurian+-+Classic+1286,https://www.zomato.com/search?q=Gobi+Manchurian+-+Classic+1286,"Gobi Manchurian - Classic 1286 — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,5
kadhi-chawal---classic-495-1c9a78,Kadhi Chawal - Classic 495,dinner,veg,342,30,20,10,4,560,https://images.unsplash.com/photo-1841900624?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Kadhi+Chawal+-+Classic+495,https://www.zomato.com/search?q=Kadhi+Chawal+-+Classic+495,"Kadhi Chawal - Classic 495 — delicious veg dish, popular in its region.",High protein|Low fat,5
papdi-chaat---classic-fc97c0,Papdi Chaat - Classic,dinner,veg,261,29,2,2,16,793,https://images.unsplash.com/photo-1103760870?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Papdi+Chaat+-+Classic,https://www.zomato.com/search?q=Papdi+Chaat+-+Classic,"Papdi Chaat - Classic — delicious veg dish, popular in its region.",High protein|High fiber|Low fat,5
grilled-cheese-sandwich---family-recipe-ef3705,Grilled Cheese Sandwich - Family Recipe,dinner,veg,103,28,5,5,10,850,https://images.unsplash.com/photo-1499115247?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Grilled+Cheese+Sandwich+-+Family+Recipe,https://www.zomato.com/search?q=Grilled+Cheese+Sandwich+-+Family+Recipe,"Grilled Cheese Sandwich - Family Recipe — delicious veg dish, popular in its region.",Low calorie|High protein|High fiber|Low fat,5
chicken-tikka-masala---signature-29d025,Chicken Tikka Masala - Signature,dinner,non-veg,164,60,4,42,12,836,https://images.unsplash.com/photo-1513108468?w=1920&h=1080&fit=crop&q=90,https://www.swiggy.com/search?query=Chicken+Tikka+Masala+-+Signature,https://www.zomato.com/search?q=Chicken+Tikka+Masala+-+Signature,"Chicken Tikka Masala - Signature — delicious non-veg dish, popular in its region.",Low calorie|High protein|High fiber,4
